2023-01-01T00:01:39.047Z,10.240.99.200,10.25.15.199,1066,UDP

2023-01-01T00:02:20.311Z,10.192.130.19,10.109.205.215,523,UDP

2023-01-01T00:02:21.705Z,10.219.212.39,10.153.58.115,145,UDP

2023-01-01T00:02:58.847Z,10.12.35.198,10.153.58.115,1048,TCP

2023-01-01T00:04:30.562Z,10.169.222.254,10.64.105.151,634,UDP

2023-01-01T00:04:35.724Z,10.234.230.211,10.185.212.165,1399,UDP

2023-01-01T00:04:56.732Z,10.204.56.134,10.32.37.239,64,TCP

2023-01-01T00:05:57.167Z,10.82.66.50,10.25.15.199,166,UDP

2023-01-01T00:06:38.594Z,10.250.168.195,10.32.37.239,891,TCP

2023-01-01T00:08:07.001Z,10.234.164.142,10.138.160.62,1051,UDP

2023-01-01T00:08:07.024Z,10.203.65.174,10.232.24.4,66,UDP

2023-01-01T00:08:51.281Z,10.240.121.119,10.232.24.4,749,UDP

2023-01-01T00:10:14.954Z,10.145.50.141,10.64.105.151,66,TCP

2023-01-01T00:10:59.831Z,10.130.111.230,10.153.58.115,249,UDP

2023-01-01T00:12:30.876Z,10.212.161.40,10.232.24.4,691,UDP

2023-01-01T00:13:36.397Z,10.203.65.174,10.232.24.4,1176,TCP

2023-01-01T00:15:09.871Z,10.196.202.78,10.153.58.115,1161,UDP

2023-01-01T00:15:58.043Z,10.192.130.19,10.153.58.115,1022,TCP

2023-01-01T00:16:19.060Z,10.178.156.230,10.109.205.215,147,TCP

2023-01-01T00:16:58.543Z,10.137.52.232,10.25.15.199,913,TCP

2023-01-01T00:18:11.245Z,10.81.174.18,10.32.37.239,807,TCP

2023-01-01T00:19:11.808Z,10.124.73.85,10.189.55.111,72,UDP

2023-01-01T00:20:35.645Z,10.93.117.158,10.25.15.199,1006,UDP

2023-01-01T00:21:02.647Z,10.186.45.18,10.32.37.239,1499,TCP

2023-01-01T00:21:09.087Z,10.249.106.43,10.224.233.224,1145,UDP

2023-01-01T00:21:38.375Z,10.19.44.229,10.191.26.132,1284,TCP

2023-01-01T00:22:28.254Z,10.28.118.133,10.153.58.115,372,UDP

2023-01-01T00:23:18.723Z,10.149.30.84,10.138.160.62,1178,TCP

2023-01-01T00:23:35.408Z,10.5.241.132,10.224.233.224,446,UDP

2023-01-01T00:24:27.468Z,10.92.19.154,10.232.24.4,313,TCP

2023-01-01T00:25:50.291Z,10.178.156.230,10.254.161.216,1049,UDP

2023-01-01T00:27:15.027Z,10.241.171.142,10.32.37.239,1035,UDP

2023-01-01T00:27:37.490Z,10.238.180.61,10.109.205.215,1476,UDP

2023-01-01T00:28:12.574Z,10.155.88.30,10.185.212.165,1245,UDP

2023-01-01T00:28:39.836Z,10.93.117.158,10.185.212.165,1219,UDP

2023-01-01T00:29:14.367Z,10.94.27.236,10.109.205.215,579,UDP

2023-01-01T00:30:05.775Z,10.192.76.15,10.153.58.115,1062,TCP

2023-01-01T00:31:40.556Z,10.5.241.132,10.189.55.111,1220,TCP

2023-01-01T00:32:17.177Z,10.12.35.198,10.254.161.216,147,TCP

2023-01-01T00:32:53.303Z,10.55.116.14,10.64.105.151,607,UDP

2023-01-01T00:33:22.268Z,10.93.112.47,10.138.160.62,735,UDP

2023-01-01T00:34:38.538Z,10.137.52.232,10.232.24.4,1028,UDP

2023-01-01T00:35:29.912Z,10.32.105.189,10.254.161.216,510,UDP

2023-01-01T00:35:38.513Z,10.196.59.79,10.117.124.184,814,TCP

2023-01-01T00:37:10.498Z,10.25.251.253,10.32.37.239,1371,UDP

2023-01-01T00:38:39.605Z,10.93.110.45,10.32.37.239,382,UDP

2023-01-01T00:40:17.685Z,10.25.251.253,10.64.105.151,1086,UDP

2023-01-01T00:41:43.392Z,10.150.82.168,10.138.160.62,158,UDP

2023-01-01T00:42:36.807Z,10.87.215.208,10.38.38.112,53,TCP

2023-01-01T00:43:33.942Z,10.160.237.29,10.25.15.199,1487,UDP

2023-01-01T00:43:44.761Z,10.240.229.88,10.189.55.111,1083,UDP

2023-01-01T00:44:49.764Z,10.84.208.5,10.254.161.216,147,UDP

2023-01-01T00:46:21.643Z,10.3.0.148,10.189.55.111,618,UDP

2023-01-01T00:46:31.535Z,10.55.116.14,10.138.160.62,845,TCP

